Item Name,Quantity,Price,Date
"Progresso, Italian Style Bread Crumbs, 15 oz.",1,2.08,5/29/23
"Great Value Italian Style Panko Bread Crumbs, 8 oz",1,1.77,5/29/23
"Navel Oranges, 4 lb Bag",1,4.98,5/29/23
"Fresh Roma Tomato, Each",3,0.86,5/29/23
"Equate Daily Fiber, 100% Psyllium Husk Dietary Supplement Capsules, 300",1,10.98,5/29/23
"McCormick Garlic Powder, 3.12 oz",1,4.23,5/29/23
"Breyers Frozen Dairy Dessert Cookies & Cream Ice Cream Alternative, 48 oz",1,4.97,5/29/23
"Great Value Finely Shredded Fiesta Blend Cheese, 32 oz",1,7.48,5/29/23
"Great Value Long Grain Enriched Rice, 5 lbs",2,5.88,5/29/23
"Fresh Green Onions Bunch, Each",1,0.88,5/29/23
