Item Name,Quantity,Price
"Progresso, Italian Style Bread Crumbs, 15 oz.",1,2.08
"Great Value Italian Style Panko Bread Crumbs, 8 oz",1,1.77
"Navel Oranges, 4 lb Bag",1,4.98
"Fresh Roma Tomato, Each",3,0.86
Count,1,9.88
"Equate Daily Fiber, 100% Psyllium Husk Dietary Supplement Capsules, 300 Count",1,10.98
"McCormick Garlic Powder, 3.12 oz",1,3.12
"Breyers Frozen Dairy Dessert Cookies & Cream Ice Cream Alternative, 48 oz",1,4.97
"Great Value Finely Shredded Fiesta Blend Cheese, 32 oz",1,7.48
"Great Value Long Grain Enriched Rice, 5 lbs",2,5.88
"Fresh Green Onions Bunch, Each",1,0.88
"Great Value Chicken Broth, 32 oz",2,2.74
